================================================================================
PE HEADER ANALYSIS: LinuxLoader-terry.efi
================================================================================

File size: 741376 bytes (0xb5000)
Machine: 0xaa64 (AArch64)
Number of sections: 3
Image base: 0x0
Entry point (RVA): 0x1000
Section alignment: 0x1000
File alignment: 0x1000
Image size: 0xb5000

--- SECTIONS ---
  .text       VA=0x001000  VSize=0x094000  RawOff=0x001000  RawSize=0x094000  Chars=0x60000020
  .data       VA=0x095000  VSize=0x01d000  RawOff=0x095000  RawSize=0x01d000  Chars=0xc0000040
  .reloc      VA=0x0b2000  VSize=0x003000  RawOff=0x0b2000  RawSize=0x003000  Chars=0x42000040

.text code boundary: 0x95000

================================================================================
STRING ANALYSIS
================================================================================
Total strings extracted: 4352 (saved to all_strings.txt)

--- BOOT_FLOW (89 matches) ---
  FileOff=0x06c4ea  RVA=0x06c4ea  "LinuxLoader"
  Searching for 'STRB w2, [x1, #13]' (lock state write pattern)...

================================================================================
RELOCATION TABLE ANALYSIS
================================================================================
  Total relocations: 4123
  Reloc blocks: 31

================================================================================
DATA SECTION POINTER ANALYSIS
================================================================================
  Found 556 pointers into .text from .data

  Pointer clusters (potential dispatch tables):

    Cluster at 0x095018 (6 entries):
      [0x095018] -> 0x06fb50
      [0x095030] -> 0x06fc30
      [0x095048] -> 0x06fe10
      [0x095060] -> 0x0701f0
      [0x095078] -> 0x0702b0
      [0x095090] -> 0x070470

    Cluster at 0x0950b8 (4 entries):
      [0x0950b8] -> 0x07189e
      [0x0950c0] -> 0x0718a2
      [0x0950c8] -> 0x0718bc
      [0x0950d8] -> 0x0718ca

    Cluster at 0x097bd0 (486 entries):
      [0x097bd0] -> 0x07ac3d
      [0x097bd8] -> 0x07ac42
      [0x097be0] -> 0x071710
      [0x097be8] -> 0x07ac50
      [0x097bf0] -> 0x07239b
      [0x097c00] -> 0x07ac3d
      [0x097c08] -> 0x07ac53
      [0x097c10] -> 0x071710
      [0x097c18] -> 0x07ac50
      [0x097c20] -> 0x07239b
      [0x097c30] -> 0x07ac3d
      [0x097c38] -> 0x07ac5c
      [0x097c40] -> 0x071710
      [0x097c48] -> 0x07ac50
      [0x097c50] -> 0x07239b
      [0x097c60] -> 0x07ac3d
      [0x097c68] -> 0x07ac66
      [0x097c70] -> 0x071710
      [0x097c78] -> 0x07ac50
      [0x097c80] -> 0x07239b
      ... and 466 more

    Cluster at 0x099ad8 (37 entries):
      [0x099ad8] -> 0x010000
      [0x099ae0] -> 0x042980
      [0x099ae8] -> 0x0429d8
      [0x099af8] -> 0x090cd8
      [0x099b00] -> 0x091160
      [0x099b08] -> 0x090708
      [0x099b10] -> 0x07f528
      [0x099b18] -> 0x091230
      [0x099b20] -> 0x090a70
      [0x099b28] -> 0x090b40
      [0x099b30] -> 0x090f20
      [0x099b38] -> 0x090638
      [0x099b40] -> 0x07f458
      [0x099b48] -> 0x090ff0
      [0x099b50] -> 0x06b850
      [0x099b58] -> 0x052048
      [0x099b60] -> 0x06b888
      [0x099b68] -> 0x052088
      [0x099b70] -> 0x06b8cc
      [0x099b78] -> 0x06b850
      ... and 17 more

    Cluster at 0x099c38 (22 entries):
      [0x099c38] -> 0x092440
      [0x099c40] -> 0x065d64
      [0x099c48] -> 0x065f80
      [0x099c50] -> 0x066134
      [0x099c58] -> 0x0661d8
      [0x099c60] -> 0x066220
      [0x099c80] -> 0x066338
      [0x099c88] -> 0x066374
      [0x099c90] -> 0x0663b0
      [0x099c98] -> 0x06641c
      [0x099ca0] -> 0x06669c
      [0x099ca8] -> 0x0666d8
      [0x099cc0] -> 0x0671a0
      [0x099cc8] -> 0x0671ec
      [0x099cd8] -> 0x067248
      [0x099ce0] -> 0x0672e0
      [0x099d00] -> 0x067378
      [0x099d08] -> 0x0673bc
      [0x099d10] -> 0x0673bc
      [0x099d18] -> 0x0673fc

================================================================================
INTERESTING CONSTANTS
================================================================================
  0x20000000 (512MB) at FileOff=0x000f06 RVA=0x000f06
  0x20000000 (512MB) at FileOff=0x000f81 RVA=0x000f81
  0x20000000 (512MB) at FileOff=0x000fba RVA=0x000fba
  0x20000000 (512MB) at FileOff=0x000fc2 RVA=0x000fc2
  0x20000000 (512MB) at FileOff=0x06c5cf RVA=0x06c5cf
  0x20000000 (512MB) at FileOff=0x073ebd RVA=0x073ebd
  0x20000000 (512MB) at FileOff=0x073f85 RVA=0x073f85
  0x20000000 (512MB) at FileOff=0x07e385 RVA=0x07e385
  0x20000000 (512MB) at FileOff=0x07ed6d RVA=0x07ed6d
  0x20000000 (512MB) at FileOff=0x07f0c6 RVA=0x07f0c6
  0x20000000 (512MB) at FileOff=0x07f12d RVA=0x07f12d
  0x20000000 (512MB) at FileOff=0x07f4ad RVA=0x07f4ad
  0x20000000 (512MB) at FileOff=0x07fb25 RVA=0x07fb25
  0x20000000 (512MB) at FileOff=0x07fced RVA=0x07fced
  0x20000000 (512MB) at FileOff=0x07fd35 RVA=0x07fd35
  0x20000000 (512MB) at FileOff=0x0806fd RVA=0x0806fd
  0x20000000 (512MB) at FileOff=0x0822e5 RVA=0x0822e5
  0x20000000 (512MB) at FileOff=0x082535 RVA=0x082535
  0x20000000 (512MB) at FileOff=0x0827e5 RVA=0x0827e5
  0x20000000 (512MB) at FileOff=0x082cbd RVA=0x082cbd
  0x20000000 (512MB) at FileOff=0x0838c5 RVA=0x0838c5
  0x20000000 (512MB) at FileOff=0x0846e5 RVA=0x0846e5
  0x20000000 (512MB) at FileOff=0x084d35 RVA=0x084d35
  0x20000000 (512MB) at FileOff=0x0851ad RVA=0x0851ad
  0x20000000 (512MB) at FileOff=0x0851b5 RVA=0x0851b5
  0x20000000 (512MB) at FileOff=0x0874d5 RVA=0x0874d5
  0x20000000 (512MB) at FileOff=0x0874dd RVA=0x0874dd
  0x20000000 (512MB) at FileOff=0x087535 RVA=0x087535
  0x20000000 (512MB) at FileOff=0x0887ed RVA=0x0887ed
  0x20000000 (512MB) at FileOff=0x0889dd RVA=0x0889dd
  0x20000000 (512MB) at FileOff=0x0891b9 RVA=0x0891b9
  0x20000000 (512MB) at FileOff=0x09064d RVA=0x09064d
  0x20000000 (512MB) at FileOff=0x090ffd RVA=0x090ffd
  0x20000000 (512MB) at FileOff=0x0914cd RVA=0x0914cd
  0x20000000 (512MB) at FileOff=0x0914d1 RVA=0x0914d1
  0x20000000 (512MB) at FileOff=0x09161d RVA=0x09161d
  0x20000000 (512MB) at FileOff=0x091621 RVA=0x091621
  0x20000000 (512MB) at FileOff=0x091735 RVA=0x091735
  0x20000000 (512MB) at FileOff=0x091739 RVA=0x091739
  0x20000000 (512MB) at FileOff=0x091885 RVA=0x091885
  0x20000000 (512MB) at FileOff=0x091889 RVA=0x091889
  0x20000000 (512MB) at FileOff=0x091e35 RVA=0x091e35
  0x20000000 (512MB) at FileOff=0x09205d RVA=0x09205d
  0x20000000 (512MB) at FileOff=0x092145 RVA=0x092145
  0x20000000 (512MB) at FileOff=0x09216d RVA=0x09216d
  0x20000000 (512MB) at FileOff=0x09219d RVA=0x09219d
  0x20000000 (512MB) at FileOff=0x0923ed RVA=0x0923ed
  0x20000000 (512MB) at FileOff=0x095025 RVA=0x095025
  0x20000000 (512MB) at FileOff=0x09503d RVA=0x09503d
  0x20000000 (512MB) at FileOff=0x095055 RVA=0x095055
  0x20000000 (512MB) at FileOff=0x098825 RVA=0x098825
  0x20000000 (512MB) at FileOff=0x098855 RVA=0x098855
  0x20000000 (512MB) at FileOff=0x098885 RVA=0x098885
  0x20000000 (512MB) at FileOff=0x0988b5 RVA=0x0988b5
  0x20000000 (512MB) at FileOff=0x098be5 RVA=0x098be5
  0x20000000 (512MB) at FileOff=0x098d65 RVA=0x098d65
  0x20000000 (512MB) at FileOff=0x09978d RVA=0x09978d
  0x20000000 (512MB) at FileOff=0x0998a5 RVA=0x0998a5
  0x20000000 (512MB) at FileOff=0x0999bd RVA=0x0999bd
  0x20000000 (512MB) at FileOff=0x099b2d RVA=0x099b2d
  0x20000000 (512MB) at FileOff=0x099c5d RVA=0x099c5d
  0x20000000 (512MB) at FileOff=0x0b2a06 RVA=0x0b2a06
  0x20000000 (512MB) at FileOff=0x0b3bee RVA=0x0b3bee
  0x10000000 (256MB) at FileOff=0x000e7e RVA=0x000e7e
  0x10000000 (256MB) at FileOff=0x000e82 RVA=0x000e82
  0x10000000 (256MB) at FileOff=0x000e8e RVA=0x000e8e
  0x10000000 (256MB) at FileOff=0x000e92 RVA=0x000e92
  0x10000000 (256MB) at FileOff=0x000ed9 RVA=0x000ed9
  0x10000000 (256MB) at FileOff=0x06d1c5 RVA=0x06d1c5
  0x10000000 (256MB) at FileOff=0x06f662 RVA=0x06f662
  0x10000000 (256MB) at FileOff=0x073d3d RVA=0x073d3d
  0x10000000 (256MB) at FileOff=0x074965 RVA=0x074965
  0x10000000 (256MB) at FileOff=0x075ffd RVA=0x075ffd
  0x10000000 (256MB) at FileOff=0x07c73d RVA=0x07c73d
  0x10000000 (256MB) at FileOff=0x07d1bb RVA=0x07d1bb
  0x10000000 (256MB) at FileOff=0x07d239 RVA=0x07d239
  0x10000000 (256MB) at FileOff=0x07ed45 RVA=0x07ed45
  0x10000000 (256MB) at FileOff=0x07ed85 RVA=0x07ed85
  0x10000000 (256MB) at FileOff=0x07edad RVA=0x07edad
  0x10000000 (256MB) at FileOff=0x07ee7d RVA=0x07ee7d
  0x10000000 (256MB) at FileOff=0x07f09e RVA=0x07f09e
  0x10000000 (256MB) at FileOff=0x07f0a6 RVA=0x07f0a6
  0x10000000 (256MB) at FileOff=0x07f0ae RVA=0x07f0ae
  0x10000000 (256MB) at FileOff=0x07f0b6 RVA=0x07f0b6
  0x10000000 (256MB) at FileOff=0x07f0be RVA=0x07f0be
  0x10000000 (256MB) at FileOff=0x07f0ce RVA=0x07f0ce
  0x10000000 (256MB) at FileOff=0x07f0d6 RVA=0x07f0d6
  0x10000000 (256MB) at FileOff=0x07f0de RVA=0x07f0de
  0x10000000 (256MB) at FileOff=0x07f115 RVA=0x07f115
  0x10000000 (256MB) at FileOff=0x07f14e RVA=0x07f14e
  0x10000000 (256MB) at FileOff=0x07f15e RVA=0x07f15e
  0x10000000 (256MB) at FileOff=0x07fab5 RVA=0x07fab5
  0x10000000 (256MB) at FileOff=0x0806dd RVA=0x0806dd
  0x10000000 (256MB) at FileOff=0x082295 RVA=0x082295
  0x10000000 (256MB) at FileOff=0x0822b5 RVA=0x0822b5
  0x10000000 (256MB) at FileOff=0x082795 RVA=0x082795
  0x10000000 (256MB) at FileOff=0x08286d RVA=0x08286d
  0x10000000 (256MB) at FileOff=0x082875 RVA=0x082875
  0x10000000 (256MB) at FileOff=0x082c6d RVA=0x082c6d
  0x10000000 (256MB) at FileOff=0x083875 RVA=0x083875
  0x10000000 (256MB) at FileOff=0x083a8d RVA=0x083a8d
  0x10000000 (256MB) at FileOff=0x084ab5 RVA=0x084ab5
  0x10000000 (256MB) at FileOff=0x08612d RVA=0x08612d
  0x10000000 (256MB) at FileOff=0x0872b5 RVA=0x0872b5
  0x10000000 (256MB) at FileOff=0x087e3d RVA=0x087e3d
  0x10000000 (256MB) at FileOff=0x088e45 RVA=0x088e45
  0x10000000 (256MB) at FileOff=0x090f85 RVA=0x090f85
  0x10000000 (256MB) at FileOff=0x091055 RVA=0x091055
  0x10000000 (256MB) at FileOff=0x09136d RVA=0x09136d
  0x10000000 (256MB) at FileOff=0x091371 RVA=0x091371
  0x10000000 (256MB) at FileOff=0x091435 RVA=0x091435
  0x10000000 (256MB) at FileOff=0x091439 RVA=0x091439
  0x10000000 (256MB) at FileOff=0x0919a1 RVA=0x0919a1
  0x10000000 (256MB) at FileOff=0x091a3d RVA=0x091a3d
  0x10000000 (256MB) at FileOff=0x091a5d RVA=0x091a5d
  0x10000000 (256MB) at FileOff=0x091a65 RVA=0x091a65
  0x10000000 (256MB) at FileOff=0x091ad5 RVA=0x091ad5
  0x10000000 (256MB) at FileOff=0x091af5 RVA=0x091af5
  0x10000000 (256MB) at FileOff=0x091dbd RVA=0x091dbd
  0x10000000 (256MB) at FileOff=0x09201d RVA=0x09201d
  0x10000000 (256MB) at FileOff=0x0920a5 RVA=0x0920a5
  0x10000000 (256MB) at FileOff=0x092135 RVA=0x092135
  0x10000000 (256MB) at FileOff=0x09217d RVA=0x09217d
  0x10000000 (256MB) at FileOff=0x0921e5 RVA=0x0921e5
  0x10000000 (256MB) at FileOff=0x092285 RVA=0x092285
  0x10000000 (256MB) at FileOff=0x09230d RVA=0x09230d
  0x10000000 (256MB) at FileOff=0x09232d RVA=0x09232d
  0x10000000 (256MB) at FileOff=0x092375 RVA=0x092375
  0x10000000 (256MB) at FileOff=0x09240d RVA=0x09240d
  0x10000000 (256MB) at FileOff=0x09267d RVA=0x09267d
  0x10000000 (256MB) at FileOff=0x095045 RVA=0x095045
  0x10000000 (256MB) at FileOff=0x097bdd RVA=0x097bdd
  0x10000000 (256MB) at FileOff=0x097c0d RVA=0x097c0d
  0x10000000 (256MB) at FileOff=0x097c3d RVA=0x097c3d
  0x10000000 (256MB) at FileOff=0x097c6d RVA=0x097c6d
  0x10000000 (256MB) at FileOff=0x097c9d RVA=0x097c9d
  0x10000000 (256MB) at FileOff=0x097ccd RVA=0x097ccd
  0x10000000 (256MB) at FileOff=0x097cfd RVA=0x097cfd
  0x10000000 (256MB) at FileOff=0x097d2d RVA=0x097d2d
  0x10000000 (256MB) at FileOff=0x097d5d RVA=0x097d5d
  0x10000000 (256MB) at FileOff=0x097d8d RVA=0x097d8d
  0x10000000 (256MB) at FileOff=0x097dbd RVA=0x097dbd
  0x10000000 (256MB) at FileOff=0x097ded RVA=0x097ded
  0x10000000 (256MB) at FileOff=0x097e1d RVA=0x097e1d
  0x10000000 (256MB) at FileOff=0x097e4d RVA=0x097e4d
  0x10000000 (256MB) at FileOff=0x097e7d RVA=0x097e7d
  0x10000000 (256MB) at FileOff=0x097ead RVA=0x097ead
  0x10000000 (256MB) at FileOff=0x097edd RVA=0x097edd
  0x10000000 (256MB) at FileOff=0x097f0d RVA=0x097f0d
  0x10000000 (256MB) at FileOff=0x097f3d RVA=0x097f3d
  0x10000000 (256MB) at FileOff=0x097f6d RVA=0x097f6d
  0x10000000 (256MB) at FileOff=0x097f9d RVA=0x097f9d
  0x10000000 (256MB) at FileOff=0x097fcd RVA=0x097fcd
  0x10000000 (256MB) at FileOff=0x097ffd RVA=0x097ffd
  0x10000000 (256MB) at FileOff=0x09802d RVA=0x09802d
  0x10000000 (256MB) at FileOff=0x09805d RVA=0x09805d
  0x10000000 (256MB) at FileOff=0x09808d RVA=0x09808d
  0x10000000 (256MB) at FileOff=0x0980bd RVA=0x0980bd
  0x10000000 (256MB) at FileOff=0x0980ed RVA=0x0980ed
  0x10000000 (256MB) at FileOff=0x09811d RVA=0x09811d
  0x10000000 (256MB) at FileOff=0x09814d RVA=0x09814d
  0x10000000 (256MB) at FileOff=0x09817d RVA=0x09817d
  0x10000000 (256MB) at FileOff=0x0981ad RVA=0x0981ad
  0x10000000 (256MB) at FileOff=0x0981dd RVA=0x0981dd
  0x10000000 (256MB) at FileOff=0x09820d RVA=0x09820d
  0x10000000 (256MB) at FileOff=0x09823d RVA=0x09823d
  0x10000000 (256MB) at FileOff=0x09826d RVA=0x09826d
  0x10000000 (256MB) at FileOff=0x09829d RVA=0x09829d
  0x10000000 (256MB) at FileOff=0x0982cd RVA=0x0982cd
  0x10000000 (256MB) at FileOff=0x0982fd RVA=0x0982fd
  0x10000000 (256MB) at FileOff=0x09832d RVA=0x09832d
  0x10000000 (256MB) at FileOff=0x09835d RVA=0x09835d
  0x10000000 (256MB) at FileOff=0x09838d RVA=0x09838d
  0x10000000 (256MB) at FileOff=0x0983bd RVA=0x0983bd
  0x10000000 (256MB) at FileOff=0x0983ed RVA=0x0983ed
  0x10000000 (256MB) at FileOff=0x09841d RVA=0x09841d
  0x10000000 (256MB) at FileOff=0x09844d RVA=0x09844d
  0x10000000 (256MB) at FileOff=0x09847d RVA=0x09847d
  0x10000000 (256MB) at FileOff=0x0984ad RVA=0x0984ad
  0x10000000 (256MB) at FileOff=0x0984dd RVA=0x0984dd
  0x10000000 (256MB) at FileOff=0x09850d RVA=0x09850d
  0x10000000 (256MB) at FileOff=0x09853d RVA=0x09853d
  0x10000000 (256MB) at FileOff=0x09856d RVA=0x09856d
  0x10000000 (256MB) at FileOff=0x098585 RVA=0x098585
  0x10000000 (256MB) at FileOff=0x09859d RVA=0x09859d
  0x10000000 (256MB) at FileOff=0x0985b5 RVA=0x0985b5
  0x10000000 (256MB) at FileOff=0x0985cd RVA=0x0985cd
  0x10000000 (256MB) at FileOff=0x0985e5 RVA=0x0985e5
  0x10000000 (256MB) at FileOff=0x0985fd RVA=0x0985fd
  0x10000000 (256MB) at FileOff=0x098615 RVA=0x098615
  0x10000000 (256MB) at FileOff=0x09862d RVA=0x09862d
  0x10000000 (256MB) at FileOff=0x098645 RVA=0x098645
  0x10000000 (256MB) at FileOff=0x09865d RVA=0x09865d
  0x10000000 (256MB) at FileOff=0x098675 RVA=0x098675
  0x10000000 (256MB) at FileOff=0x09868d RVA=0x09868d
  0x10000000 (256MB) at FileOff=0x0986a5 RVA=0x0986a5
  0x10000000 (256MB) at FileOff=0x0986bd RVA=0x0986bd
  0x10000000 (256MB) at FileOff=0x0986d5 RVA=0x0986d5
  0x10000000 (256MB) at FileOff=0x0986ed RVA=0x0986ed
  0x10000000 (256MB) at FileOff=0x098705 RVA=0x098705
  0x10000000 (256MB) at FileOff=0x09871d RVA=0x09871d
  0x10000000 (256MB) at FileOff=0x098735 RVA=0x098735
  0x10000000 (256MB) at FileOff=0x09874d RVA=0x09874d
  0x10000000 (256MB) at FileOff=0x098765 RVA=0x098765
  0x10000000 (256MB) at FileOff=0x09877d RVA=0x09877d
  0x10000000 (256MB) at FileOff=0x098795 RVA=0x098795
  0x10000000 (256MB) at FileOff=0x0987ad RVA=0x0987ad
  0x10000000 (256MB) at FileOff=0x0987c5 RVA=0x0987c5
  0x10000000 (256MB) at FileOff=0x0987dd RVA=0x0987dd
  0x10000000 (256MB) at FileOff=0x0987f5 RVA=0x0987f5
  0x10000000 (256MB) at FileOff=0x09880d RVA=0x09880d
  0x10000000 (256MB) at FileOff=0x09883d RVA=0x09883d
  0x10000000 (256MB) at FileOff=0x09886d RVA=0x09886d
  0x10000000 (256MB) at FileOff=0x09889d RVA=0x09889d
  0x10000000 (256MB) at FileOff=0x0988cd RVA=0x0988cd
  0x10000000 (256MB) at FileOff=0x0988fd RVA=0x0988fd
  0x10000000 (256MB) at FileOff=0x09892d RVA=0x09892d
  0x10000000 (256MB) at FileOff=0x09895d RVA=0x09895d
  0x10000000 (256MB) at FileOff=0x09898d RVA=0x09898d
  0x10000000 (256MB) at FileOff=0x0989bd RVA=0x0989bd
  0x10000000 (256MB) at FileOff=0x0989ed RVA=0x0989ed
  0x10000000 (256MB) at FileOff=0x098a1d RVA=0x098a1d
  0x10000000 (256MB) at FileOff=0x098a4d RVA=0x098a4d
  0x10000000 (256MB) at FileOff=0x098a7d RVA=0x098a7d
  0x10000000 (256MB) at FileOff=0x098aad RVA=0x098aad
  0x10000000 (256MB) at FileOff=0x098ac6 RVA=0x098ac6
  0x10000000 (256MB) at FileOff=0x098add RVA=0x098add
  0x10000000 (256MB) at FileOff=0x098bb5 RVA=0x098bb5
  0x10000000 (256MB) at FileOff=0x098d35 RVA=0x098d35
  0x10000000 (256MB) at FileOff=0x0b2082 RVA=0x0b2082
  0x10000000 (256MB) at FileOff=0x0b21cd RVA=0x0b21cd
  0x10000000 (256MB) at FileOff=0x0b279a RVA=0x0b279a
  0x10000000 (256MB) at FileOff=0x0b3b1a RVA=0x0b3b1a
  512MB as 64-bit at FileOff=0x07f0c6 RVA=0x07f0c6
  512MB as 64-bit at FileOff=0x07f12d RVA=0x07f12d
  512MB as 64-bit at FileOff=0x0914d1 RVA=0x0914d1
  512MB as 64-bit at FileOff=0x091621 RVA=0x091621
  512MB as 64-bit at FileOff=0x091739 RVA=0x091739
  512MB as 64-bit at FileOff=0x091889 RVA=0x091889
  512MB as 64-bit at FileOff=0x091e35 RVA=0x091e35
  512MB as 64-bit at FileOff=0x09205d RVA=0x09205d
  512MB as 64-bit at FileOff=0x09219d RVA=0x09219d
  512MB as 64-bit at FileOff=0x0923ed RVA=0x0923ed
  512MB as 64-bit at FileOff=0x095025 RVA=0x095025
  512MB as 64-bit at FileOff=0x09503d RVA=0x09503d
  512MB as 64-bit at FileOff=0x095055 RVA=0x095055
  512MB as 64-bit at FileOff=0x098825 RVA=0x098825
  512MB as 64-bit at FileOff=0x098855 RVA=0x098855
  512MB as 64-bit at FileOff=0x098885 RVA=0x098885
  512MB as 64-bit at FileOff=0x0988b5 RVA=0x0988b5
  512MB as 64-bit at FileOff=0x098be5 RVA=0x098be5
  512MB as 64-bit at FileOff=0x098d65 RVA=0x098d65


Results saved to /Users/vibebox/Documents/Facebook_Portal/portal-freedom/firmware/analysis/analysis_results.json
Full strings saved to /Users/vibebox/Documents/Facebook_Portal/portal-freedom/firmware/analysis/all_strings.txt

================================================================================
ANALYSIS COMPLETE
================================================================================
